Date,Open,High,Low,Close,Volume,Company
2024-07-17,15.4,15.4,15.2,15.2,172292.0,SINGER (SRI LANKA) PLC
2024-07-19,15.1,15.3,14.9,15.0,196330.0,SINGER (SRI LANKA) PLC
2024-07-20,15.1,15.3,14.9,15.0,196330.0,SINGER (SRI LANKA) PLC
2024-07-21,15.1,15.3,14.9,15.0,196330.0,SINGER (SRI LANKA) PLC
2024-07-22,15.5,15.6,14.9,14.9,68109.0,SINGER (SRI LANKA) PLC
2024-07-23,15.0,15.5,15.0,15.3,24900.0,SINGER (SRI LANKA) PLC
2024-07-24,15.5,15.6,15.3,15.5,200950.0,SINGER (SRI LANKA) PLC
2024-07-25,15.2,15.2,15.1,15.2,29608.0,SINGER (SRI LANKA) PLC
2024-07-26,15.2,15.2,15.2,15.2,26806.0,SINGER (SRI LANKA) PLC
2024-07-27,15.2,15.2,15.2,15.2,26806.0,SINGER (SRI LANKA) PLC
2024-07-28,15.2,15.2,15.2,15.2,26806.0,SINGER (SRI LANKA) PLC
2024-07-29,15.5,15.5,15.1,15.2,156414.0,SINGER (SRI LANKA) PLC
2024-07-30,15.2,15.2,15.0,15.0,118093.0,SINGER (SRI LANKA) PLC
2024-07-31,15.0,15.1,14.9,15.0,194045.0,SINGER (SRI LANKA) PLC
2024-08-01,15.0,15.0,14.9,14.9,162720.0,SINGER (SRI LANKA) PLC
2024-08-02,15.0,15.3,15.0,15.1,32049.0,SINGER (SRI LANKA) PLC
2024-08-03,15.0,15.3,15.0,15.1,32049.0,SINGER (SRI LANKA) PLC
2024-08-04,15.0,15.3,15.0,15.1,32049.0,SINGER (SRI LANKA) PLC
2024-08-05,15.5,15.5,14.8,14.8,23750.0,SINGER (SRI LANKA) PLC
2024-08-06,14.9,14.9,14.5,14.7,126728.0,SINGER (SRI LANKA) PLC
2024-08-07,14.9,14.9,14.5,14.5,5128.0,SINGER (SRI LANKA) PLC
2024-08-08,14.5,14.9,14.5,14.7,46800.0,SINGER (SRI LANKA) PLC
2024-08-09,14.8,15.5,14.6,15.1,211991.0,SINGER (SRI LANKA) PLC
2024-08-10,14.8,15.5,14.6,15.1,211991.0,SINGER (SRI LANKA) PLC
2024-08-11,14.8,15.5,14.6,15.1,211991.0,SINGER (SRI LANKA) PLC
2024-08-12,15.5,16.2,15.0,16.0,801820.0,SINGER (SRI LANKA) PLC
